fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220602 205819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	769	TRUE	0.0101592302971344	0.278551086866467	10892	1202	0.0161472709244697	133886000	HT6010	165	1658475	27
20220602 205905	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	498	TRUE	0.0193115532185626	0.779847134245746	12584	662	0.0269702329425782	77740000	HT6010	136	1206056	42
20220602 210559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	385	TRUE	0.0273061724607134	0.859070580980741	16568	1448	0.0271085634148913	78435000	HT6010	136	1206056	43
20220602 210851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	0.0826848944098782	0.217015254884958	6222	203	0.0393437873775256	63943000	HT6010	136	1206056	44
20220602 211041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	67	TRUE	0.209050921035598	0.412173700490035	16858	1755	0.0390770419135612	65211000	HT6010	136	1206056	45
20220602 211501	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0535540108033433	0.36533616809994	9142	78	0.0489111148328229	58179000	HT6010	136	1206056	46
20220602 211707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.201493012496689	0.54474143036101	4372	1865	0.0125510841887735	75625000	HT6010	136	1206056	47
20220602 211852	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	0.163113527627208	0.250458681467548	18890	961	0.0431347069119414	61660000	HT6010	136	1206056	48
20220602 212015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.293496948182094	0.866582108211331	3791	1263	0.0289670318755961	66455000	HT6010	136	1206056	49
20220602 212337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0656545440595667	0.279363347406872	8078	600	0.0437815528705056	60630000	HT6010	136	1206056	50
20220602 212601	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	93	TRUE	0.117620004344452	0.794931426758505	10200	350	0.0170937563479723	83550000	HT6010	136	1206056	51
